ParcelIndex,AreaName,AreaDescription,New?,Sections,SectionsBOLD,ColourRGB,OtherNames
70,L_8BL,Area 8B Lateral,Yes*,"19,22",22,"0,233,255",8B
71,L_9p,Area 9 Posterior,Yes*,"19,22",22,"0,233,255",9
72,L_10d,Area 10d,Yes*,"19,20,22",20,"44,224,0","10, Fp1, Fp2"
73,L_8C,Area 8C,Yes*,"8,21,22",22,"0,233,255",8Av
74,L_44,Area 44,No,"8,12,21",21,"0,163,117","44d, 44v"
75,L_45,Area 45,No,"12,21",21,"0,163,117","45a, 45p"
76,L_47l,Area 47l (47 lateral),No,"12,20,21",21,"0,163,117",
77,L_a47r,Area anterior 47r,Yes*,"20,21,22",21,"0,163,117",47r
78,L_6r,Rostral Area 6,No,"8,9,12,21",8,"120,98,178",
79,L_IFJa,Area IFJa,Yes,"8,21,22",21,"0,163,117",
80,L_IFJp,Area IFJp,Yes,"8,21,22",21,"0,163,117",
81,L_IFSp,Area IFSp,Yes,"21,22",21,"0,163,117",
82,L_IFSa,Area IFSa,Yes,"21,22",21,"0,163,117",
83,L_"p9-46v",Area posterior  9-46v,Yes*,"21,22",22,"0,233,255",9-46v
84,L_46,Area 46,No,"21,22",22,"0,233,255",
85,L_"a9-46v",Area anterior  9-46v,Yes*,"20,21,22",22,"0,233,255",9-46v
86,L_9-46d,Area 9-46d,No,"20,22",22,"0,233,255",
87,L_9a,Area 9 anterior,Yes*,"19,20,22",22,"0,233,255",9
88,L_10v,Area 10v,Yes,"19,20",19,"52,134,17","10, Fp2"
89,L_a10p,Area anterior 10p,Yes*,"20,22",20,"44,224,0","10p, 10, Fp1"
90,L_10pp,Polar 10p,Yes*,"19,20",20,"44,224,0","10p, 10, Fp1"
91,L_11l,Area 11l,No,20,20,"44,224,0",Fo3
92,L_13l,Area 13l,No,20,20,"44,224,0",Fo3
93,L_OFC,Orbital Frontal Complex,Yes*,"19,20",20,"44,224,0","11m, 13b, 13m, 14r,Fo1"
94,L_47s,Area 47s,No,"12,20",20,"44,224,0",
95,L_LIPd,"Area Lateral IntraParietal dorsal",Yes*,"16,17",16,"75,59,69",
96,L_6a,Area 6 anterior,Yes,"7,8,22",8,"120,98,178","6, 6aβ"
97,L_i6-8,"Inferior 6-8 Transitional Area",Yes*,"8,22",22,"0,233,255",FC(B)
98,L_s6-8,"Superior 6-8 Transitional Area",Yes*,"7,8,22",22,"0,233,255",FC(B)
99,L_43,Area 43,No,"6,8,9,12",9,"180,55,103",41
100,L_OP4,Area OP4/PV,No,"6,9,17",9,"180,55,103",68
101,L_OP1,Area OP1/SII,No,"9,10",9,"180,55,103",
102,L_OP2-3,Area OP2-3/VS,Yes*,"9,10,12",9,"180,55,103","OP2,OP3"
103,L_52,Area 52,No,"10,12",10,"230,98,192",IBT
104,L_RI,RetroInsular Cortex,No,"9,10,12,15",10,"230,98,192","reI, reIt, RetroInsular, Belt, TD"
105,L_PFcm,Area PFcm,No,"9,10,15,17",10,"230,98,192",
106,L_PoI2,Posterior Insular Area 2,Yes*,12,12,"216,99,9","Id1, Id2, Id3"
107,L_TA2,Area TA2,No,"10,11,12",11,"0,190,251",TE1.2
108,L_FOP4,"Frontal OPercular Area 4",Yes,"9,12,21",12,"216,99,9",
109,L_MI,Middle Insular Area,Yes*,12,12,"216,99,9",Ial
110,L_AVI,Anterior Ventral Insular Area,Yes*,"12,20,21",12,"216,99,9",Iai
111,L_AAIC,"Anterior Agranular Insula Complex",Yes*,"12,20",12,"216,99,9","Iai, Ial"
112,L_FOP1,"Frontal OPercular Area 1",Yes,"8,9,12",9,"180,55,103",
113,L_FOP3,"Frontal OPercular Area 3",Yes,12,12,"216,99,9",
114,L_FOP2,"Frontal OPercular Area 2",Yes,"9,12",12,"216,99,9",
115,L_PFt,Area PFt,No,"6,16,17",17,"110,203,201",
116,L_AIP,"Anterior IntraParietal Area",Yes*,"6,16,17",16,"75,59,69",
117,L_EC,Entorhinal Cortex,No,13,13,"240,182,199",28
118,L_PreS,PreSubiculum,No,"2,13,18",13,"240,182,199","Sub, Subicular"
119,L_H,Hippocampus,No,13,13,"240,182,199",
120,L_ProS,ProStriate Area,No,"1,2,13,18",18,"247,126,247",
121,L_PeEc,Perirhinal Ectorhinal Cortex,Yes*,"13,14",13,"240,182,199","ATFP, AFP1, Ectorhinal, Perirhinal, 35, 36"
122,L_STGa,Area STGa,Yes,"11,12,14",11,"0,190,251",
123,L_PBelt,ParaBelt Complex,Yes*,"10,11",10,"230,98,192","ParaBelt, TA1"
124,L_A5,Auditory 5 Complex,Yes,"11,15",11,"0,190,251",
125,L_PHA1,"ParaHippocampal Area 1",Yes,"2,4,13",13,"240,182,199",
126,L_PHA3,ParaHippocampal Area 3,Yes,"4,13,14",13,"240,182,199",
127,L_STSda,Area STSd anterior,Yes,"11,14",11,"0,190,251",
128,L_STSdp,Area STSd posterior,Yes,"11,15",11,"0,190,251",
129,L_STSvp,Area STSv posterior,Yes,"11,14,15",11,"0,190,251",
130,L_TGd,Area TG dorsal,Yes*,"11,12,13,14",14,"246,83,118",TG
131,L_TE1a,Area TE1 anterior,Yes*,"11,14",14,"246,83,118",
132,L_TE1p,Area TE1 posterior,Yes*,"5,11,14",14,"246,83,118",
133,L_TE2a,Area TE2 anterior,Yes*,14,14,"246,83,118",
134,L_TF,Area TF,No,"4,13,14",13,"240,182,199",
135,L_TE2p,Area TE2 posterior,Yes*,"4,5,14",14,"246,83,118",
136,L_PHT,Area PHT,No,"5,11,14,15",14,"246,83,118",
137,L_PH,Area PH,No,"4,5,14",5,"184,60,27",
138,L_TPOJ1,"Area TemporoParietoOcci pital Junction 1",Yes,"11,14,15,17",15,"0,92,66",
139,L_TPOJ2,"Area TemporoParietoOcci pital Junction 2",Yes,"5,14,15,17",15,"0,92,66",
140,L_TPOJ3,"Area TemporoParietoOcci pital Junction 3",Yes,"5,15,17",15,"0,92,66",
141,L_DVT,"Dorsal Transitional Visual Area",Yes,"2,3,16,18",18,"247,126,247",
142,L_PGp,Area PGp,No,"5,15,17",17,"110,203,201","39,PG"
143,L_IP2,Area IntraParietal 2,No,"16,17",17,"110,203,201",
144,L_IP1,Area IntraParietal 1,No,"16,17",17,"110,203,201",
145,L_IP0,Area IntraParietal 0,Yes,"3,5,16,17",17,"110,203,201",
146,L_PFop,Area PF opercular,No,"6,9,17",17,"110,203,201","40, 72"
147,L_PF,Area PF Complex,No,"9,15,17",17,"110,203,201","40, 88"
148,L_PFm,Area PFm Complex,No,"15,17",17,"110,203,201","40, 89"
149,L_PGi,Area PGi,No,"15,17",17,"110,203,201","PGa, 39, PG, 90"
150,L_PGs,Area PGs,No,"15,17",17,"110,203,201","PGa, 39, PG, 90"
151,L_V6A,Area V6A,No,"3,18",3,"173,192,0",112
152,L_VMV1,"VentroMedial Visual Area 1",Yes*,"2,4,13",4,"68,53,0","PHC2, PHC-2"
153,L_VMV3,"VentroMedial Visual Area 3",Yes*,"2,4,13",4,"68,53,0",VO2
154,L_PHA2,"ParaHippocampal Area 2",Yes,"4,13",13,"240,182,199",
155,L_V4t,Area V4t,No,5,5,"184,60,27",LO2
156,L_FST,Area FST,No,"5,14,15",5,"184,60,27",
157,L_V3CD,Area V3CD,Yes,"2,3,5,17",5,"184,60,27","V3A,V3B, hOC4la"
158,L_LO3,"Area Lateral Occipital 3",Yes,"5,15,17",5,"184,60,27",hOC4la
159,L_VMV2,"VentroMedial Visual Area 2",Yes*,"2,4,13",4,"68,53,0","PHC1, PHC-1"
160,L_31pd,Area 31pd,Yes*,18,18,"247,126,247","31, 31d, 31v"
161,L_31a,Area 31a,Yes*,18,18,"247,126,247","31, 31d, 31v"
162,L_VVC,Ventral Visual Complex,Yes*,"4,13,14",4,"68,53,0","VO1, VO2, PHC1, PHC2, PHC-1, PHC-2, FG1"
163,L_25,Area 25,No,"19,20",19,"52,134,17",
164,L_s32,Area s32,No,19,19,"52,134,17","32pl, 32"
165,L_pOFC,posterior OFC Complex,Yes*,"12,19,20",19,"52,134,17","13a, 14c, Fo2"
166,L_PoI1,"Area Posterior Insular 1",Yes*,12,12,"216,99,9","Id1, Id2, Id3"
167,L_Ig,"Insular Granular Complex",Yes*,"9,12",12,"216,99,9","Ig1, Ig2"
168,L_FOP5,"Area Frontal Opercular 5",Yes,"12,21",12,"216,99,9",PrCO
169,L_p10p,Area posterior 10p,Yes*,"20,22",20,"44,224,0","10p, 10, Fp1"
170,L_p47r,Area posterior 47r,Yes*,"20,21,22",21,"0,163,117",47r
171,L_TGv,Area TG Ventral,Yes*,"13,14",14,"246,83,118",
172,L_MBelt,Medial Belt Complex,Yes*,"10,12",10,"230,98,192","Belt, TB"
173,L_LBelt,Lateral Belt Complex,Yes*,10,10,"230,98,192","Belt, TB"
174,L_A4,Auditory 4 Complex,Yes*,"11,15",11,"0,190,251",TE3
175,L_STSva,Area STSv anterior,Yes,"11,14",11,"0,190,251",
176,L_TE1m,Area TE1 Middle,Yes*,"11,14",14,"246,83,118",
177,L_PI,Para-Insular Area,No,"11,12,14",12,"216,99,9",IBT
178,L_a32pr,"Area anterior 32 prime",Yes*,19,19,"52,134,17",32'
179,L_p24,Area posterior 24,Yes*,19,19,"52,134,17",24
180,R_V1,Primary Visual Cortex,No,"1,2",1,"180,182,255","17, hOC1, OC, BA17"
181,R_MST,"Medial Superior Temporal Area",No,"5,15",5,"184,60,27","MSTv, hOC5, hOC5v"
182,R_V6,Sixth Visual Area,No,"2,3,18",3,"173,192,0",112
183,R_V2,Second Visual Area,No,"1,2",2,"0,115,155","18, hOC2, OB, BA18"
184,R_V3,Third Visual Area,No,2,2,"0,115,155","V3d, V3v, VP, hOC3d, hOC3v"
185,R_V4,Fourth Visual Area,No,"2,3,4,5",2,"0,115,155","V4d, V4v, hV4, hOC4v, hOC4lp, LO1"
186,R_V8,Eighth Visual Area,No,"2,4,5",4,"68,53,0",VO1
187,R_4,"Primary Motor Cortex",No,"6,7,8,9",6,"205,206,123","BA4, 4a, 4p, M1, PMC, F1"
188,R_3b,"Primary Sensory Cortex",No,"6,7,9",6,"205,206,123","S1, 3"
189,R_FEF,Frontal Eye Fields,No,"6,8,22",8,"120,98,178",
190,R_PEF,Premotor Eye Field,No,"6,8,21,22",8,"120,98,178",6v2
191,R_55b,Area 55b,No,"6,8,22",8,"120,98,178",
192,R_V3A,Area V3A,No,"2,3",3,"173,192,0","V3D, hOC4d"
193,R_RSC,RetroSplenial Complex,No,"13,18",18,"247,126,247","29,30"
194,R_POS2,Parieto-Occipital Sulcus Area 2,Yes*,"16,18",18,"247,126,247",
195,R_V7,Seventh Visual Area,No,3,3,"173,192,0",IPS0
196,R_IPS1,IntraParietal Sulcus Area 1,No,"3,16,17",3,"173,192,0",
197,R_FFC,Fusiform Face Complex,No,"4,5,14",4,"68,53,0","FFA, FG2"
198,R_V3B,Area V3B,No,"3,5,17",3,"173,192,0",V3C
199,R_LO1,Area Lateral Occipital 1,No,"2,5",5,"184,60,27","LO2, hOC4la"
200,R_LO2,Area Lateral Occipital 2,No,"2,4,5",5,"184,60,27","LO1, hOC4la"
201,R_PIT,"Posterior InferoTemporal complex",No,"2,4,5",4,"68,53,0","phPITv, phPITd, OFA, hOC4la"
202,R_MT,"Middle Temporal Area",No,"5,15",5,"184,60,27","hOC5, hOC5d"
203,R_A1,Primary Auditory Cortex,No,10,10,"230,98,192","Core, R1, TC, TE1.0, TE1.1, 41"
204,R_PSL,"PeriSylvian Language Area",Yes,"9,10,11,15,17",15,"0,92,66",
205,R_SFL,"Superior Frontal Language Area",Yes,"7,19,22",22,"0,233,255",
206,R_PCV,"PreCuneus Visual Area",No,"7,16,18",18,"247,126,247",PrCu
207,R_STV,"Superior Temporal Visual Area",Yes,"11,15,17",15,"0,92,66",
208,R_7Pm,Medial Area 7P,Yes,"16,18",16,"75,59,69",7P
209,R_7m,Area 7m,No,"16,18",18,"247,126,247",
210,R_POS1,"Parieto-Occipital Sulcus Area 1",Yes*,18,18,"247,126,247","""Retrosplenial Cortex"""
211,R_23d,Area 23d,No,"18,19",18,"247,126,247",
212,R_v23ab,Area ventral 23 a+b,No,18,18,"247,126,247","23a, 23b, v23"
213,R_d23ab,Area dorsal 23 a+b,No,18,18,"247,126,247","23a, 23b, d23"
214,R_31pv,Area 31p ventral,Yes*,18,18,"247,126,247","31, 31d, 31v"
215,R_5m,Area 5m,No,"6,7",7,"237,156,0",
216,R_5mv,Area 5m ventral,Yes*,"7,16,18",7,"237,156,0",5ci
217,R_23c,Area 23c,No,"7,18,19",7,"237,156,0",
218,R_5L,Area 5L,No,"6,7,16",7,"237,156,0",
219,R_24dd,Dorsal Area 24d,No,"6,7,18",7,"237,156,0",24d
220,R_24dv,Ventral Area 24d,No,"7,19",7,"237,156,0",24d
221,R_7AL,Lateral Area 7A,Yes*,"6,7,16",16,"75,59,69",
222,R_SCEF,"Supplementary and Cingulate Eye Field",Yes*,"7,19,22",7,"237,156,0","SEF, CEF, 6, SMA, SMAr"
223,R_6ma,Area 6m anterior,Yes*,"7,8,22",7,"237,156,0","SMAr, 6, SMA"
224,R_7Am,Medial Area 7A,Yes*,"7,16,18",16,"75,59,69",
225,R_7Pl,Lateral Area 7P,Yes*,"16,18",16,"75,59,69",
226,R_7PC,Area 7PC,No,"6,16",16,"75,59,69",
227,R_LIPv,"Area Lateral IntraParietal ventral",Yes*,16,16,"75,59,69",hIP3
228,R_VIP,Ventral IntraParietal Complex,Yes*,16,16,"75,59,69",
229,R_MIP,Medial IntraParietal Area,Yes*,"3,16,17",16,"75,59,69",
230,R_1,Area 1,No,"6,7,9,17",6,"205,206,123",
231,R_2,Area 2,No,"6,7,16,17",6,"205,206,123",
232,R_3a,Area 3a,No,"6,7,9,17",6,"205,206,123",
233,R_6d,Dorsal area 6,Yes*,"6,7,8",8,"120,98,178","6, 6aα"
234,R_6mp,Area 6mp,Yes*,"6,7,8",7,"237,156,0","SMAc, 6, SMA"
235,R_6v,Ventral Area 6,No,"6,8,9",8,"120,98,178","6, 6v1"
236,R_p24pr,"Area Posterior 24 prime",No,"7,18,19",19,"52,134,17",p24'
237,R_33pr,Area 33 prime,No,"18,19",19,"52,134,17","33', 16"
238,R_a24pr,Anterior 24 prime,No,19,19,"52,134,17",a24'
239,R_p32pr,Area p32 prime,Yes*,"7,19",19,"52,134,17",32'
240,R_a24,Area a24,Yes*,19,19,"52,134,17","24, s24"
241,R_d32,Area dorsal 32,No,19,19,"52,134,17",32
242,R_8BM,Area 8BM,Yes*,"7,19,22",19,"52,134,17",8B
243,R_p32,Area p32,No,"19,20",19,"52,134,17","32ac, 32"
244,R_10r,Area 10r,Yes*,"19,20",19,"52,134,17",
245,R_47m,Area 47m,No,"20,21",20,"44,224,0",
246,R_8Av,Area 8Av,Yes*,"8,22",22,"0,233,255",
247,R_8Ad,Area 8Ad,Yes*,22,22,"0,233,255",
248,R_9m,Area 9 Middle,Yes*,"19,20,22",19,"52,134,17",9
249,R_8BL,Area 8B Lateral,Yes*,"19,22",22,"0,233,255",8B
250,R_9p,Area 9 Posterior,Yes*,"19,22",22,"0,233,255",9
251,R_10d,Area 10d,Yes*,"19,20,22",20,"44,224,0","10, Fp1, Fp2"
252,R_8C,Area 8C,Yes*,"8,21,22",22,"0,233,255",8Av
253,R_44,Area 44,No,"8,12,21",21,"0,163,117","44d, 44v"
254,R_45,Area 45,No,"12,21",21,"0,163,117","45a, 45p"
255,R_47l,Area 47l (47 lateral),No,"12,20,21",21,"0,163,117",
256,R_a47r,Area anterior 47r,Yes*,"20,21,22",21,"0,163,117",47r
257,R_6r,Rostral Area 6,No,"8,9,12,21",8,"120,98,178",
258,R_IFJa,Area IFJa,Yes,"8,21,22",21,"0,163,117",
259,R_IFJp,Area IFJp,Yes,"8,21,22",21,"0,163,117",
260,R_IFSp,Area IFSp,Yes,"21,22",21,"0,163,117",
261,R_IFSa,Area IFSa,Yes,"21,22",21,"0,163,117",
262,R_"p9-46v",Area posterior  9-46v,Yes*,"21,22",22,"0,233,255",9-46v
263,R_46,Area 46,No,"21,22",22,"0,233,255",
264,R_"a9-46v",Area anterior  9-46v,Yes*,"20,21,22",22,"0,233,255",9-46v
265,R_9-46d,Area 9-46d,No,"20,22",22,"0,233,255",
266,R_9a,Area 9 anterior,Yes*,"19,20,22",22,"0,233,255",9
267,R_10v,Area 10v,Yes,"19,20",19,"52,134,17","10, Fp2"
268,R_a10p,Area anterior 10p,Yes*,"20,22",20,"44,224,0","10p, 10, Fp1"
269,R_10pp,Polar 10p,Yes*,"19,20",20,"44,224,0","10p, 10, Fp1"
270,R_11l,Area 11l,No,20,20,"44,224,0",Fo3
271,R_13l,Area 13l,No,20,20,"44,224,0",Fo3
272,R_OFC,Orbital Frontal Complex,Yes*,"19,20",20,"44,224,0","11m, 13b, 13m, 14r,Fo1"
273,R_47s,Area 47s,No,"12,20",20,"44,224,0",
274,R_LIPd,"Area Lateral IntraParietal dorsal",Yes*,"16,17",16,"75,59,69",
275,R_6a,Area 6 anterior,Yes,"7,8,22",8,"120,98,178","6, 6aβ"
276,R_i6-8,"Inferior 6-8 Transitional Area",Yes*,"8,22",22,"0,233,255",FC(B)
277,R_s6-8,"Superior 6-8 Transitional Area",Yes*,"7,8,22",22,"0,233,255",FC(B)
278,R_43,Area 43,No,"6,8,9,12",9,"180,55,103",41
279,R_OP4,Area OP4/PV,No,"6,9,17",9,"180,55,103",68
280,R_OP1,Area OP1/SII,No,"9,10",9,"180,55,103",
281,R_OP2-3,Area OP2-3/VS,Yes*,"9,10,12",9,"180,55,103","OP2,OP3"
282,R_52,Area 52,No,"10,12",10,"230,98,192",IBT
283,R_RI,RetroInsular Cortex,No,"9,10,12,15",10,"230,98,192","reI, reIt, RetroInsular, Belt, TD"
284,R_PFcm,Area PFcm,No,"9,10,15,17",10,"230,98,192",
285,R_PoI2,Posterior Insular Area 2,Yes*,12,12,"216,99,9","Id1, Id2, Id3"
286,R_TA2,Area TA2,No,"10,11,12",11,"0,190,251",TE1.2
287,R_FOP4,"Frontal OPercular Area 4",Yes,"9,12,21",12,"216,99,9",
288,R_MI,Middle Insular Area,Yes*,12,12,"216,99,9",Ial
289,R_AVI,Anterior Ventral Insular Area,Yes*,"12,20,21",12,"216,99,9",Iai
290,R_AAIC,"Anterior Agranular Insula Complex",Yes*,"12,20",12,"216,99,9","Iai, Ial"
291,R_FOP1,"Frontal OPercular Area 1",Yes,"8,9,12",9,"180,55,103",
292,R_FOP3,"Frontal OPercular Area 3",Yes,12,12,"216,99,9",
293,R_FOP2,"Frontal OPercular Area 2",Yes,"9,12",12,"216,99,9",
294,R_PFt,Area PFt,No,"6,16,17",17,"110,203,201",
295,R_AIP,"Anterior IntraParietal Area",Yes*,"6,16,17",16,"75,59,69",
296,R_EC,Entorhinal Cortex,No,13,13,"240,182,199",28
297,R_PreS,PreSubiculum,No,"2,13,18",13,"240,182,199","Sub, Subicular"
298,R_H,Hippocampus,No,13,13,"240,182,199",
299,R_ProS,ProStriate Area,No,"1,2,13,18",18,"247,126,247",
300,R_PeEc,Perirhinal Ectorhinal Cortex,Yes*,"13,14",13,"240,182,199","ATFP, AFP1, Ectorhinal, Perirhinal, 35, 36"
301,R_STGa,Area STGa,Yes,"11,12,14",11,"0,190,251",
302,R_PBelt,ParaBelt Complex,Yes*,"10,11",10,"230,98,192","ParaBelt, TA1"
303,R_A5,Auditory 5 Complex,Yes,"11,15",11,"0,190,251",
304,R_PHA1,"ParaHippocampal Area 1",Yes,"2,4,13",13,"240,182,199",
305,R_PHA3,ParaHippocampal Area 3,Yes,"4,13,14",13,"240,182,199",
306,R_STSda,Area STSd anterior,Yes,"11,14",11,"0,190,251",
307,R_STSdp,Area STSd posterior,Yes,"11,15",11,"0,190,251",
308,R_STSvp,Area STSv posterior,Yes,"11,14,15",11,"0,190,251",
309,R_TGd,Area TG dorsal,Yes*,"11,12,13,14",14,"246,83,118",TG
310,R_TE1a,Area TE1 anterior,Yes*,"11,14",14,"246,83,118",
311,R_TE1p,Area TE1 posterior,Yes*,"5,11,14",14,"246,83,118",
312,R_TE2a,Area TE2 anterior,Yes*,14,14,"246,83,118",
313,R_TF,Area TF,No,"4,13,14",13,"240,182,199",
314,R_TE2p,Area TE2 posterior,Yes*,"4,5,14",14,"246,83,118",
315,R_PHT,Area PHT,No,"5,11,14,15",14,"246,83,118",
316,R_PH,Area PH,No,"4,5,14",5,"184,60,27",
317,R_TPOJ1,"Area TemporoParietoOcci pital Junction 1",Yes,"11,14,15,17",15,"0,92,66",
318,R_TPOJ2,"Area TemporoParietoOcci pital Junction 2",Yes,"5,14,15,17",15,"0,92,66",
319,R_TPOJ3,"Area TemporoParietoOcci pital Junction 3",Yes,"5,15,17",15,"0,92,66",
320,R_DVT,"Dorsal Transitional Visual Area",Yes,"2,3,16,18",18,"247,126,247",
321,R_PGp,Area PGp,No,"5,15,17",17,"110,203,201","39,PG"
322,R_IP2,Area IntraParietal 2,No,"16,17",17,"110,203,201",
323,R_IP1,Area IntraParietal 1,No,"16,17",17,"110,203,201",
324,R_IP0,Area IntraParietal 0,Yes,"3,5,16,17",17,"110,203,201",
325,R_PFop,Area PF opercular,No,"6,9,17",17,"110,203,201","40, 72"
326,R_PF,Area PF Complex,No,"9,15,17",17,"110,203,201","40, 88"
327,R_PFm,Area PFm Complex,No,"15,17",17,"110,203,201","40, 89"
328,R_PGi,Area PGi,No,"15,17",17,"110,203,201","PGa, 39, PG, 90"
329,R_PGs,Area PGs,No,"15,17",17,"110,203,201","PGa, 39, PG, 90"
330,R_V6A,Area V6A,No,"3,18",3,"173,192,0",112
331,R_VMV1,"VentroMedial Visual Area 1",Yes*,"2,4,13",4,"68,53,0","PHC2, PHC-2"
332,R_VMV3,"VentroMedial Visual Area 3",Yes*,"2,4,13",4,"68,53,0",VO2
333,R_PHA2,"ParaHippocampal Area 2",Yes,"4,13",13,"240,182,199",
